,ema_fast,ema_slow,rsi,macd,previous_loss,last_open_price,last_close_price,avg_loss_last_3
0,8.34266,8.35182,39.0302,-0.00915,0.0,0.0,0.0,0.0
ok,signal_response,ZARJPY,SELL,0.7895,0.2105,1760427601.91,651.1,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428047.44,1078.5,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428124.49,160.1,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428143.18,241.5,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428166.41,266.2,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428186.6,220.9,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428217.16,455.0,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428259.5,714.8,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428306.15,562.2,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428357.53,469.3,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428410.64,752.2,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428469.75,724.7,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428553.95,1486.3,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428650.38,980.2,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760428712.81,2154.0,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429194.48,215.9,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429214.51,340.2,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429249.07,324.1,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429297.6,172.1,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429316.62,216.4,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429345.69,338.6,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429657.43,112.4,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429677.17,339.4,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429707.78,372.7,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429730.14,324.0,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429781.33,1071.4,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429838.19,475.5,0.0
ok,signal_response,ZARJPY,SELL,0.95,0.05,1760429883.26,473.6,0.0
